"scientificname","group","basetree","Species_Name","tiplabel","gen","fam","ord","clade","higher","MSW3_sciName_matched","genes","extinct.","samp","PC"
"Diclidurus scutatus","Mammals","mammaltree","Diclidurus_scutatus","Diclidurus_scutatus_EMBALLONURIDAE_CHIROPTERA","Diclidurus","EMBALLONURIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria","Diclidurus_scutatus",1,0,"sampled","PC18_EmballonuridRelated"
"Diphylla ecaudata","Mammals","mammaltree","Diphylla_ecaudata","Diphylla_ecaudata_PHYLLOSTOMIDAE_CHIROPTERA","Diphylla","PHYLLOSTOMIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria","Diphylla_ecaudata",2,0,"sampled","PC16_PhyllostomidRelated"
"Dobsonia anderseni","Mammals","mammaltree","Dobsonia_anderseni","Dobsonia_anderseni_PTEROPODIDAE_CHIROPTERA","Dobsonia","PTEROPODIDAE","CHIROPTERA","Yinpterochiroptera","Laurasiatheria","Dobsonia_anderseni",0,0,"imputed","PC19_Yinpterochiroptera"
"Dobsonia beauforti","Mammals","mammaltree","Dobsonia_beauforti","Dobsonia_beauforti_PTEROPODIDAE_CHIROPTERA","Dobsonia","PTEROPODIDAE","CHIROPTERA","Yinpterochiroptera","Laurasiatheria","Dobsonia_beauforti",0,0,"imputed","PC19_Yinpterochiroptera"
"Dobsonia chapmani","Mammals","mammaltree","Dobsonia_chapmani","Dobsonia_chapmani_PTEROPODIDAE_CHIROPTERA","Dobsonia","PTEROPODIDAE","CHIROPTERA","Yinpterochiroptera","Laurasiatheria","Dobsonia_chapmani",0,0,"imputed","PC19_Yinpterochiroptera"
"Dobsonia crenulata","Mammals","mammaltree","Dobsonia_crenulata","Dobsonia_crenulata_PTEROPODIDAE_CHIROPTERA","Dobsonia","PTEROPODIDAE","CHIROPTERA","Yinpterochiroptera","Laurasiatheria","Dobsonia_crenulata",0,0,"imputed","PC19_Yinpterochiroptera"
"Dobsonia emersa","Mammals","mammaltree","Dobsonia_emersa","Dobsonia_emersa_PTEROPODIDAE_CHIROPTERA","Dobsonia","PTEROPODIDAE","CHIROPTERA","Yinpterochiroptera","Laurasiatheria","Dobsonia_emersa",0,0,"imputed","PC19_Yinpterochiroptera"
"Dobsonia exoleta","Mammals","mammaltree","Dobsonia_exoleta","Dobsonia_exoleta_PTEROPODIDAE_CHIROPTERA","Dobsonia","PTEROPODIDAE","CHIROPTERA","Yinpterochiroptera","Laurasiatheria","Dobsonia_exoleta",0,0,"imputed","PC19_Yinpterochiroptera"
"Dobsonia inermis","Mammals","mammaltree","Dobsonia_inermis","Dobsonia_inermis_PTEROPODIDAE_CHIROPTERA","Dobsonia","PTEROPODIDAE","CHIROPTERA","Yinpterochiroptera","Laurasiatheria","Dobsonia_inermis",5,0,"sampled","PC19_Yinpterochiroptera"
"Dobsonia minor","Mammals","mammaltree","Dobsonia_minor","Dobsonia_minor_PTEROPODIDAE_CHIROPTERA","Dobsonia","PTEROPODIDAE","CHIROPTERA","Yinpterochiroptera","Laurasiatheria","Dobsonia_minor",5,0,"sampled","PC19_Yinpterochiroptera"
"Dobsonia moluccensis","Mammals","mammaltree","Dobsonia_moluccensis","Dobsonia_moluccensis_PTEROPODIDAE_CHIROPTERA","Dobsonia","PTEROPODIDAE","CHIROPTERA","Yinpterochiroptera","Laurasiatheria","Dobsonia_moluccensis",5,0,"sampled","PC19_Yinpterochiroptera"
"Dobsonia pannietensis","Mammals","mammaltree","Dobsonia_pannietensis","Dobsonia_pannietensis_PTEROPODIDAE_CHIROPTERA","Dobsonia","PTEROPODIDAE","CHIROPTERA","Yinpterochiroptera","Laurasiatheria","Dobsonia_pannietensis",0,0,"imputed","PC19_Yinpterochiroptera"
"Dobsonia peronii","Mammals","mammaltree","Dobsonia_peronii","Dobsonia_peronii_PTEROPODIDAE_CHIROPTERA","Dobsonia","PTEROPODIDAE","CHIROPTERA","Yinpterochiroptera","Laurasiatheria","Dobsonia_peronii",0,0,"imputed","PC19_Yinpterochiroptera"
"Dobsonia praedatrix","Mammals","mammaltree","Dobsonia_praedatrix","Dobsonia_praedatrix_PTEROPODIDAE_CHIROPTERA","Dobsonia","PTEROPODIDAE","CHIROPTERA","Yinpterochiroptera","Laurasiatheria","Dobsonia_praedatrix",5,0,"sampled","PC19_Yinpterochiroptera"
"Dobsonia viridis","Mammals","mammaltree","Dobsonia_viridis","Dobsonia_viridis_PTEROPODIDAE_CHIROPTERA","Dobsonia","PTEROPODIDAE","CHIROPTERA","Yinpterochiroptera","Laurasiatheria","Dobsonia_viridis",0,0,"imputed","PC19_Yinpterochiroptera"
"Dryadonycteris capixaba","Mammals","mammaltree","Dryadonycteris_capixaba","Dryadonycteris_capixaba_PHYLLOSTOMIDAE_CHIROPTERA","Dryadonycteris","PHYLLOSTOMIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria",NA,0,0,"imputed","PC16_PhyllostomidRelated"
"Dyacopterus brooksi","Mammals","mammaltree","Dyacopterus_brooksi","Dyacopterus_brooksi_PTEROPODIDAE_CHIROPTERA","Dyacopterus","PTEROPODIDAE","CHIROPTERA","Yinpterochiroptera","Laurasiatheria","Dyacopterus_brooksi",0,0,"imputed","PC19_Yinpterochiroptera"
"Dyacopterus rickarti","Mammals","mammaltree","Dyacopterus_rickarti","Dyacopterus_rickarti_PTEROPODIDAE_CHIROPTERA","Dyacopterus","PTEROPODIDAE","CHIROPTERA","Yinpterochiroptera","Laurasiatheria",NA,0,0,"imputed","PC19_Yinpterochiroptera"
"Dyacopterus spadiceus","Mammals","mammaltree","Dyacopterus_spadiceus","Dyacopterus_spadiceus_PTEROPODIDAE_CHIROPTERA","Dyacopterus","PTEROPODIDAE","CHIROPTERA","Yinpterochiroptera","Laurasiatheria","Dyacopterus_spadiceus",3,0,"sampled","PC19_Yinpterochiroptera"
"Ectophylla alba","Mammals","mammaltree","Ectophylla_alba","Ectophylla_alba_PHYLLOSTOMIDAE_CHIROPTERA","Ectophylla","PHYLLOSTOMIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria","Ectophylla_alba",5,0,"sampled","PC16_PhyllostomidRelated"
"Eidolon dupreanum","Mammals","mammaltree","Eidolon_dupreanum","Eidolon_dupreanum_PTEROPODIDAE_CHIROPTERA","Eidolon","PTEROPODIDAE","CHIROPTERA","Yinpterochiroptera","Laurasiatheria","Eidolon_dupreanum",3,0,"sampled","PC19_Yinpterochiroptera"
"Eidolon helvum","Mammals","mammaltree","Eidolon_helvum","Eidolon_helvum_PTEROPODIDAE_CHIROPTERA","Eidolon","PTEROPODIDAE","CHIROPTERA","Yinpterochiroptera","Laurasiatheria","Eidolon_helvum",5,0,"sampled","PC19_Yinpterochiroptera"
"Emballonura alecto","Mammals","mammaltree","Emballonura_alecto","Emballonura_alecto_EMBALLONURIDAE_CHIROPTERA","Emballonura","EMBALLONURIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria","Emballonura_alecto",3,0,"sampled","PC18_EmballonuridRelated"
"Emballonura atrata","Mammals","mammaltree","Emballonura_atrata","Emballonura_atrata_EMBALLONURIDAE_CHIROPTERA","Emballonura","EMBALLONURIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria","Emballonura_atrata",20,0,"sampled","PC18_EmballonuridRelated"
"Emballonura beccarii","Mammals","mammaltree","Emballonura_beccarii","Emballonura_beccarii_EMBALLONURIDAE_CHIROPTERA","Emballonura","EMBALLONURIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria","Emballonura_beccarii",1,0,"sampled","PC18_EmballonuridRelated"
