"scientificname","group","basetree","Species_Name","tiplabel","gen","fam","ord","clade","higher","MSW3_sciName_matched","genes","extinct.","samp","PC"
"Hipposideros orbiculus","Mammals","mammaltree","Hipposideros_orbiculus","Hipposideros_orbiculus_HIPPOSIDERIDAE_CHIROPTERA","Hipposideros","HIPPOSIDERIDAE","CHIROPTERA","Yinpterochiroptera","Laurasiatheria","Hipposideros_orbiculus",0,0,"imputed","PC19_Yinpterochiroptera"
"Hipposideros papua","Mammals","mammaltree","Hipposideros_papua","Hipposideros_papua_HIPPOSIDERIDAE_CHIROPTERA","Hipposideros","HIPPOSIDERIDAE","CHIROPTERA","Yinpterochiroptera","Laurasiatheria","Hipposideros_papua",0,0,"imputed","PC19_Yinpterochiroptera"
"Hipposideros pelingensis","Mammals","mammaltree","Hipposideros_pelingensis","Hipposideros_pelingensis_HIPPOSIDERIDAE_CHIROPTERA","Hipposideros","HIPPOSIDERIDAE","CHIROPTERA","Yinpterochiroptera","Laurasiatheria","Hipposideros_pelingensis",2,0,"sampled","PC19_Yinpterochiroptera"
"Hipposideros pendelburyi","Mammals","mammaltree","Hipposideros_pendelburyi","Hipposideros_pendelburyi_HIPPOSIDERIDAE_CHIROPTERA","Hipposideros","HIPPOSIDERIDAE","CHIROPTERA","Yinpterochiroptera","Laurasiatheria",NA,2,0,"sampled","PC19_Yinpterochiroptera"
"Hipposideros pomona","Mammals","mammaltree","Hipposideros_pomona","Hipposideros_pomona_HIPPOSIDERIDAE_CHIROPTERA","Hipposideros","HIPPOSIDERIDAE","CHIROPTERA","Yinpterochiroptera","Laurasiatheria","Hipposideros_pomona",14,0,"sampled","PC19_Yinpterochiroptera"
"Hipposideros pratti","Mammals","mammaltree","Hipposideros_pratti","Hipposideros_pratti_HIPPOSIDERIDAE_CHIROPTERA","Hipposideros","HIPPOSIDERIDAE","CHIROPTERA","Yinpterochiroptera","Laurasiatheria","Hipposideros_pratti",6,0,"sampled","PC19_Yinpterochiroptera"
"Hipposideros pygmaeus","Mammals","mammaltree","Hipposideros_pygmaeus","Hipposideros_pygmaeus_HIPPOSIDERIDAE_CHIROPTERA","Hipposideros","HIPPOSIDERIDAE","CHIROPTERA","Yinpterochiroptera","Laurasiatheria","Hipposideros_pygmaeus",2,0,"sampled","PC19_Yinpterochiroptera"
"Hipposideros ridleyi","Mammals","mammaltree","Hipposideros_ridleyi","Hipposideros_ridleyi_HIPPOSIDERIDAE_CHIROPTERA","Hipposideros","HIPPOSIDERIDAE","CHIROPTERA","Yinpterochiroptera","Laurasiatheria","Hipposideros_ridleyi",3,0,"sampled","PC19_Yinpterochiroptera"
"Hipposideros rotalis","Mammals","mammaltree","Hipposideros_rotalis","Hipposideros_rotalis_HIPPOSIDERIDAE_CHIROPTERA","Hipposideros","HIPPOSIDERIDAE","CHIROPTERA","Yinpterochiroptera","Laurasiatheria","Hipposideros_rotalis",4,0,"sampled","PC19_Yinpterochiroptera"
"Hipposideros ruber","Mammals","mammaltree","Hipposideros_ruber","Hipposideros_ruber_HIPPOSIDERIDAE_CHIROPTERA","Hipposideros","HIPPOSIDERIDAE","CHIROPTERA","Yinpterochiroptera","Laurasiatheria","Hipposideros_ruber",2,0,"sampled","PC19_Yinpterochiroptera"
"Hipposideros scutinares","Mammals","mammaltree","Hipposideros_scutinares","Hipposideros_scutinares_HIPPOSIDERIDAE_CHIROPTERA","Hipposideros","HIPPOSIDERIDAE","CHIROPTERA","Yinpterochiroptera","Laurasiatheria","Hipposideros_scutinares",2,0,"sampled","PC19_Yinpterochiroptera"
"Hipposideros semoni","Mammals","mammaltree","Hipposideros_semoni","Hipposideros_semoni_HIPPOSIDERIDAE_CHIROPTERA","Hipposideros","HIPPOSIDERIDAE","CHIROPTERA","Yinpterochiroptera","Laurasiatheria","Hipposideros_semoni",0,0,"imputed","PC19_Yinpterochiroptera"
"Hipposideros sorenseni","Mammals","mammaltree","Hipposideros_sorenseni","Hipposideros_sorenseni_HIPPOSIDERIDAE_CHIROPTERA","Hipposideros","HIPPOSIDERIDAE","CHIROPTERA","Yinpterochiroptera","Laurasiatheria","Hipposideros_sorenseni",0,0,"imputed","PC19_Yinpterochiroptera"
"Hipposideros speoris","Mammals","mammaltree","Hipposideros_speoris","Hipposideros_speoris_HIPPOSIDERIDAE_CHIROPTERA","Hipposideros","HIPPOSIDERIDAE","CHIROPTERA","Yinpterochiroptera","Laurasiatheria","Hipposideros_speoris",1,0,"sampled","PC19_Yinpterochiroptera"
"Hipposideros stenotis","Mammals","mammaltree","Hipposideros_stenotis","Hipposideros_stenotis_HIPPOSIDERIDAE_CHIROPTERA","Hipposideros","HIPPOSIDERIDAE","CHIROPTERA","Yinpterochiroptera","Laurasiatheria","Hipposideros_stenotis",0,0,"imputed","PC19_Yinpterochiroptera"
"Hipposideros sumbae","Mammals","mammaltree","Hipposideros_sumbae","Hipposideros_sumbae_HIPPOSIDERIDAE_CHIROPTERA","Hipposideros","HIPPOSIDERIDAE","CHIROPTERA","Yinpterochiroptera","Laurasiatheria","Hipposideros_sumbae",0,0,"imputed","PC19_Yinpterochiroptera"
"Hipposideros thomensis","Mammals","mammaltree","Hipposideros_thomensis","Hipposideros_thomensis_HIPPOSIDERIDAE_CHIROPTERA","Hipposideros","HIPPOSIDERIDAE","CHIROPTERA","Yinpterochiroptera","Laurasiatheria","Hipposideros_thomensis",0,0,"imputed","PC19_Yinpterochiroptera"
"Hipposideros turpis","Mammals","mammaltree","Hipposideros_turpis","Hipposideros_turpis_HIPPOSIDERIDAE_CHIROPTERA","Hipposideros","HIPPOSIDERIDAE","CHIROPTERA","Yinpterochiroptera","Laurasiatheria","Hipposideros_turpis",1,0,"sampled","PC19_Yinpterochiroptera"
"Hipposideros vittatus","Mammals","mammaltree","Hipposideros_vittatus","Hipposideros_vittatus_HIPPOSIDERIDAE_CHIROPTERA","Hipposideros","HIPPOSIDERIDAE","CHIROPTERA","Yinpterochiroptera","Laurasiatheria","Hipposideros_vittatus",10,0,"sampled","PC19_Yinpterochiroptera"
"Hipposideros wollastoni","Mammals","mammaltree","Hipposideros_wollastoni","Hipposideros_wollastoni_HIPPOSIDERIDAE_CHIROPTERA","Hipposideros","HIPPOSIDERIDAE","CHIROPTERA","Yinpterochiroptera","Laurasiatheria","Hipposideros_wollastoni",0,0,"imputed","PC19_Yinpterochiroptera"
"Histiotus alienus","Mammals","mammaltree","Histiotus_alienus","Histiotus_alienus_VESPERTILIONIDAE_CHIROPTERA","Histiotus","VESPERTILIONIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria","Histiotus_alienus",0,0,"imputed","PC17_VespertilionidRelated"
"Histiotus humboldti","Mammals","mammaltree","Histiotus_humboldti","Histiotus_humboldti_VESPERTILIONIDAE_CHIROPTERA","Histiotus","VESPERTILIONIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria","Histiotus_humboldti",0,0,"imputed","PC17_VespertilionidRelated"
"Histiotus laephotis","Mammals","mammaltree","Histiotus_laephotis","Histiotus_laephotis_VESPERTILIONIDAE_CHIROPTERA","Histiotus","VESPERTILIONIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria","Histiotus_laephotis",0,0,"imputed","PC17_VespertilionidRelated"
"Histiotus macrotus","Mammals","mammaltree","Histiotus_macrotus","Histiotus_macrotus_VESPERTILIONIDAE_CHIROPTERA","Histiotus","VESPERTILIONIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria","Histiotus_macrotus",2,0,"sampled","PC17_VespertilionidRelated"
"Histiotus magellanicus","Mammals","mammaltree","Histiotus_magellanicus","Histiotus_magellanicus_VESPERTILIONIDAE_CHIROPTERA","Histiotus","VESPERTILIONIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria","Histiotus_magellanicus",2,0,"sampled","PC17_VespertilionidRelated"
"Histiotus montanus","Mammals","mammaltree","Histiotus_montanus","Histiotus_montanus_VESPERTILIONIDAE_CHIROPTERA","Histiotus","VESPERTILIONIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria","Histiotus_montanus",0,0,"imputed","PC17_VespertilionidRelated"
"Histiotus velatus","Mammals","mammaltree","Histiotus_velatus","Histiotus_velatus_VESPERTILIONIDAE_CHIROPTERA","Histiotus","VESPERTILIONIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria","Histiotus_velatus",0,0,"imputed","PC17_VespertilionidRelated"
"Hsunycteris cadenai","Mammals","mammaltree","Hsunycteris_cadenai","Hsunycteris_cadenai_PHYLLOSTOMIDAE_CHIROPTERA","Hsunycteris","PHYLLOSTOMIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria",NA,1,0,"sampled","PC16_PhyllostomidRelated"
"Hsunycteris pattoni","Mammals","mammaltree","Hsunycteris_pattoni","Hsunycteris_pattoni_PHYLLOSTOMIDAE_CHIROPTERA","Hsunycteris","PHYLLOSTOMIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria",NA,1,0,"sampled","PC16_PhyllostomidRelated"
"Hsunycteris thomasi","Mammals","mammaltree","Hsunycteris_thomasi","Hsunycteris_thomasi_PHYLLOSTOMIDAE_CHIROPTERA","Hsunycteris","PHYLLOSTOMIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria",NA,7,0,"sampled","PC16_PhyllostomidRelated"
"Hylonycteris underwoodi","Mammals","mammaltree","Hylonycteris_underwoodi","Hylonycteris_underwoodi_PHYLLOSTOMIDAE_CHIROPTERA","Hylonycteris","PHYLLOSTOMIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria","Hylonycteris_underwoodi",7,0,"sampled","PC16_PhyllostomidRelated"
"Hypsignathus monstrosus","Mammals","mammaltree","Hypsignathus_monstrosus","Hypsignathus_monstrosus_PTEROPODIDAE_CHIROPTERA","Hypsignathus","PTEROPODIDAE","CHIROPTERA","Yinpterochiroptera","Laurasiatheria","Hypsignathus_monstrosus",5,0,"sampled","PC19_Yinpterochiroptera"
"Hypsugo anchietae","Mammals","mammaltree","Hypsugo_anchietae","Hypsugo_anchietae_VESPERTILIONIDAE_CHIROPTERA","Hypsugo","VESPERTILIONIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria","Hypsugo_anchietae",1,0,"sampled","PC17_VespertilionidRelated"
"Hypsugo bemainty","Mammals","mammaltree","Hypsugo_bemainty","Hypsugo_bemainty_VESPERTILIONIDAE_CHIROPTERA","Hypsugo","VESPERTILIONIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria",NA,1,0,"sampled","PC17_VespertilionidRelated"
"Hypsugo dolichodon","Mammals","mammaltree","Hypsugo_dolichodon","Hypsugo_dolichodon_VESPERTILIONIDAE_CHIROPTERA","Hypsugo","VESPERTILIONIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria",NA,0,0,"imputed","PC17_VespertilionidRelated"
"Hypsugo lanzai","Mammals","mammaltree","Hypsugo_lanzai","Hypsugo_lanzai_VESPERTILIONIDAE_CHIROPTERA","Hypsugo","VESPERTILIONIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria",NA,0,0,"imputed","PC17_VespertilionidRelated"
"Ia io","Mammals","mammaltree","Ia_io","Ia_io_VESPERTILIONIDAE_CHIROPTERA","Ia","VESPERTILIONIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria","Ia_io",4,0,"sampled","PC17_VespertilionidRelated"
"Idionycteris phyllotis","Mammals","mammaltree","Idionycteris_phyllotis","Idionycteris_phyllotis_VESPERTILIONIDAE_CHIROPTERA","Idionycteris","VESPERTILIONIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria","Idionycteris_phyllotis",1,0,"sampled","PC17_VespertilionidRelated"
"Kerivoula africana","Mammals","mammaltree","Kerivoula_africana","Kerivoula_africana_VESPERTILIONIDAE_CHIROPTERA","Kerivoula","VESPERTILIONIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria","Kerivoula_africana",0,0,"imputed","PC17_VespertilionidRelated"
"Kerivoula agnella","Mammals","mammaltree","Kerivoula_agnella","Kerivoula_agnella_VESPERTILIONIDAE_CHIROPTERA","Kerivoula","VESPERTILIONIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria","Kerivoula_agnella",0,0,"imputed","PC17_VespertilionidRelated"
"Kerivoula argentata","Mammals","mammaltree","Kerivoula_argentata","Kerivoula_argentata_VESPERTILIONIDAE_CHIROPTERA","Kerivoula","VESPERTILIONIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria","Kerivoula_argentata",0,0,"imputed","PC17_VespertilionidRelated"
"Kerivoula cuprosa","Mammals","mammaltree","Kerivoula_cuprosa","Kerivoula_cuprosa_VESPERTILIONIDAE_CHIROPTERA","Kerivoula","VESPERTILIONIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria","Kerivoula_cuprosa",0,0,"imputed","PC17_VespertilionidRelated"
"Kerivoula eriophora","Mammals","mammaltree","Kerivoula_eriophora","Kerivoula_eriophora_VESPERTILIONIDAE_CHIROPTERA","Kerivoula","VESPERTILIONIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria","Kerivoula_eriophora",0,0,"imputed","PC17_VespertilionidRelated"
"Kerivoula flora","Mammals","mammaltree","Kerivoula_flora","Kerivoula_flora_VESPERTILIONIDAE_CHIROPTERA","Kerivoula","VESPERTILIONIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria","Kerivoula_flora",0,0,"imputed","PC17_VespertilionidRelated"
"Kerivoula hardwickii","Mammals","mammaltree","Kerivoula_hardwickii","Kerivoula_hardwickii_VESPERTILIONIDAE_CHIROPTERA","Kerivoula","VESPERTILIONIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria","Kerivoula_hardwickii",5,0,"sampled","PC17_VespertilionidRelated"
"Kerivoula intermedia","Mammals","mammaltree","Kerivoula_intermedia","Kerivoula_intermedia_VESPERTILIONIDAE_CHIROPTERA","Kerivoula","VESPERTILIONIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria","Kerivoula_intermedia",3,0,"sampled","PC17_VespertilionidRelated"
"Kerivoula kachinensis","Mammals","mammaltree","Kerivoula_kachinensis","Kerivoula_kachinensis_VESPERTILIONIDAE_CHIROPTERA","Kerivoula","VESPERTILIONIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria",NA,3,0,"sampled","PC17_VespertilionidRelated"
"Kerivoula krauensis","Mammals","mammaltree","Kerivoula_krauensis","Kerivoula_krauensis_VESPERTILIONIDAE_CHIROPTERA","Kerivoula","VESPERTILIONIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria",NA,1,0,"sampled","PC17_VespertilionidRelated"
"Kerivoula lanosa","Mammals","mammaltree","Kerivoula_lanosa","Kerivoula_lanosa_VESPERTILIONIDAE_CHIROPTERA","Kerivoula","VESPERTILIONIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria","Kerivoula_lanosa",0,0,"imputed","PC17_VespertilionidRelated"
"Kerivoula lenis","Mammals","mammaltree","Kerivoula_lenis","Kerivoula_lenis_VESPERTILIONIDAE_CHIROPTERA","Kerivoula","VESPERTILIONIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria","Kerivoula_lenis",5,0,"sampled","PC17_VespertilionidRelated"
"Kerivoula minuta","Mammals","mammaltree","Kerivoula_minuta","Kerivoula_minuta_VESPERTILIONIDAE_CHIROPTERA","Kerivoula","VESPERTILIONIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria","Kerivoula_minuta",3,0,"sampled","PC17_VespertilionidRelated"
"Kerivoula muscina","Mammals","mammaltree","Kerivoula_muscina","Kerivoula_muscina_VESPERTILIONIDAE_CHIROPTERA","Kerivoula","VESPERTILIONIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria","Kerivoula_muscina",0,0,"imputed","PC17_VespertilionidRelated"
"Kerivoula myrella","Mammals","mammaltree","Kerivoula_myrella","Kerivoula_myrella_VESPERTILIONIDAE_CHIROPTERA","Kerivoula","VESPERTILIONIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria","Kerivoula_myrella",0,0,"imputed","PC17_VespertilionidRelated"
"Kerivoula papillosa","Mammals","mammaltree","Kerivoula_papillosa","Kerivoula_papillosa_VESPERTILIONIDAE_CHIROPTERA","Kerivoula","VESPERTILIONIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria","Kerivoula_papillosa",4,0,"sampled","PC17_VespertilionidRelated"
"Kerivoula pellucida","Mammals","mammaltree","Kerivoula_pellucida","Kerivoula_pellucida_VESPERTILIONIDAE_CHIROPTERA","Kerivoula","VESPERTILIONIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria","Kerivoula_pellucida",4,0,"sampled","PC17_VespertilionidRelated"
"Kerivoula phalaena","Mammals","mammaltree","Kerivoula_phalaena","Kerivoula_phalaena_VESPERTILIONIDAE_CHIROPTERA","Kerivoula","VESPERTILIONIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria","Kerivoula_phalaena",0,0,"imputed","PC17_VespertilionidRelated"
"Kerivoula picta","Mammals","mammaltree","Kerivoula_picta","Kerivoula_picta_VESPERTILIONIDAE_CHIROPTERA","Kerivoula","VESPERTILIONIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria","Kerivoula_picta",1,0,"sampled","PC17_VespertilionidRelated"
"Kerivoula smithii","Mammals","mammaltree","Kerivoula_smithii","Kerivoula_smithii_VESPERTILIONIDAE_CHIROPTERA","Kerivoula","VESPERTILIONIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria","Kerivoula_smithii",0,0,"imputed","PC17_VespertilionidRelated"
"Kerivoula titania","Mammals","mammaltree","Kerivoula_titania","Kerivoula_titania_VESPERTILIONIDAE_CHIROPTERA","Kerivoula","VESPERTILIONIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria",NA,2,0,"sampled","PC17_VespertilionidRelated"
"Kerivoula whiteheadi","Mammals","mammaltree","Kerivoula_whiteheadi","Kerivoula_whiteheadi_VESPERTILIONIDAE_CHIROPTERA","Kerivoula","VESPERTILIONIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria","Kerivoula_whiteheadi",1,0,"sampled","PC17_VespertilionidRelated"
"Laephotis angolensis","Mammals","mammaltree","Laephotis_angolensis","Laephotis_angolensis_VESPERTILIONIDAE_CHIROPTERA","Laephotis","VESPERTILIONIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria","Laephotis_angolensis",0,0,"imputed","PC17_VespertilionidRelated"
"Laephotis botswanae","Mammals","mammaltree","Laephotis_botswanae","Laephotis_botswanae_VESPERTILIONIDAE_CHIROPTERA","Laephotis","VESPERTILIONIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria","Laephotis_botswanae",1,0,"sampled","PC17_VespertilionidRelated"
"Laephotis namibensis","Mammals","mammaltree","Laephotis_namibensis","Laephotis_namibensis_VESPERTILIONIDAE_CHIROPTERA","Laephotis","VESPERTILIONIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria","Laephotis_namibensis",2,0,"sampled","PC17_VespertilionidRelated"
"Laephotis wintoni","Mammals","mammaltree","Laephotis_wintoni","Laephotis_wintoni_VESPERTILIONIDAE_CHIROPTERA","Laephotis","VESPERTILIONIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria","Laephotis_wintoni",1,0,"sampled","PC17_VespertilionidRelated"
"Lampronycteris brachyotis","Mammals","mammaltree","Lampronycteris_brachyotis","Lampronycteris_brachyotis_PHYLLOSTOMIDAE_CHIROPTERA","Lampronycteris","PHYLLOSTOMIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria","Lampronycteris_brachyotis",6,0,"sampled","PC16_PhyllostomidRelated"
"Lasionycteris noctivagans","Mammals","mammaltree","Lasionycteris_noctivagans","Lasionycteris_noctivagans_VESPERTILIONIDAE_CHIROPTERA","Lasionycteris","VESPERTILIONIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria","Lasionycteris_noctivagans",3,0,"sampled","PC17_VespertilionidRelated"
"Lasiurus atratus","Mammals","mammaltree","Lasiurus_atratus","Lasiurus_atratus_VESPERTILIONIDAE_CHIROPTERA","Lasiurus","VESPERTILIONIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria","Lasiurus_atratus",3,0,"sampled","PC17_VespertilionidRelated"
"Lasiurus blossevillii","Mammals","mammaltree","Lasiurus_blossevillii","Lasiurus_blossevillii_VESPERTILIONIDAE_CHIROPTERA","Lasiurus","VESPERTILIONIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria","Lasiurus_blossevillii",4,0,"sampled","PC17_VespertilionidRelated"
"Lasiurus borealis","Mammals","mammaltree","Lasiurus_borealis","Lasiurus_borealis_VESPERTILIONIDAE_CHIROPTERA","Lasiurus","VESPERTILIONIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria","Lasiurus_borealis",5,0,"sampled","PC17_VespertilionidRelated"
"Lasiurus castaneus","Mammals","mammaltree","Lasiurus_castaneus","Lasiurus_castaneus_VESPERTILIONIDAE_CHIROPTERA","Lasiurus","VESPERTILIONIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria","Lasiurus_castaneus",0,0,"imputed","PC17_VespertilionidRelated"
"Lasiurus cinereus","Mammals","mammaltree","Lasiurus_cinereus","Lasiurus_cinereus_VESPERTILIONIDAE_CHIROPTERA","Lasiurus","VESPERTILIONIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria","Lasiurus_cinereus",4,0,"sampled","PC17_VespertilionidRelated"
"Lasiurus degelidus","Mammals","mammaltree","Lasiurus_degelidus","Lasiurus_degelidus_VESPERTILIONIDAE_CHIROPTERA","Lasiurus","VESPERTILIONIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria","Lasiurus_degelidus",0,0,"imputed","PC17_VespertilionidRelated"
"Lasiurus ebenus","Mammals","mammaltree","Lasiurus_ebenus","Lasiurus_ebenus_VESPERTILIONIDAE_CHIROPTERA","Lasiurus","VESPERTILIONIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria","Lasiurus_ebenus",0,0,"imputed","PC17_VespertilionidRelated"
"Lasiurus ega","Mammals","mammaltree","Lasiurus_ega","Lasiurus_ega_VESPERTILIONIDAE_CHIROPTERA","Lasiurus","VESPERTILIONIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria","Lasiurus_ega",3,0,"sampled","PC17_VespertilionidRelated"
"Lasiurus egregius","Mammals","mammaltree","Lasiurus_egregius","Lasiurus_egregius_VESPERTILIONIDAE_CHIROPTERA","Lasiurus","VESPERTILIONIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria","Lasiurus_egregius",1,0,"sampled","PC17_VespertilionidRelated"
"Lasiurus insularis","Mammals","mammaltree","Lasiurus_insularis","Lasiurus_insularis_VESPERTILIONIDAE_CHIROPTERA","Lasiurus","VESPERTILIONIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria","Lasiurus_insularis",0,0,"imputed","PC17_VespertilionidRelated"
"Lasiurus intermedius","Mammals","mammaltree","Lasiurus_intermedius","Lasiurus_intermedius_VESPERTILIONIDAE_CHIROPTERA","Lasiurus","VESPERTILIONIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria","Lasiurus_intermedius",4,0,"sampled","PC17_VespertilionidRelated"
"Lasiurus minor","Mammals","mammaltree","Lasiurus_minor","Lasiurus_minor_VESPERTILIONIDAE_CHIROPTERA","Lasiurus","VESPERTILIONIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria","Lasiurus_minor",0,0,"imputed","PC17_VespertilionidRelated"
"Lasiurus pfeifferi","Mammals","mammaltree","Lasiurus_pfeifferi","Lasiurus_pfeifferi_VESPERTILIONIDAE_CHIROPTERA","Lasiurus","VESPERTILIONIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria","Lasiurus_pfeifferi",0,0,"imputed","PC17_VespertilionidRelated"
"Lasiurus seminolus","Mammals","mammaltree","Lasiurus_seminolus","Lasiurus_seminolus_VESPERTILIONIDAE_CHIROPTERA","Lasiurus","VESPERTILIONIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria","Lasiurus_seminolus",3,0,"sampled","PC17_VespertilionidRelated"
"Lasiurus varius","Mammals","mammaltree","Lasiurus_varius","Lasiurus_varius_VESPERTILIONIDAE_CHIROPTERA","Lasiurus","VESPERTILIONIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria","Lasiurus_varius",0,0,"imputed","PC17_VespertilionidRelated"
"Lasiurus xanthinus","Mammals","mammaltree","Lasiurus_xanthinus","Lasiurus_xanthinus_VESPERTILIONIDAE_CHIROPTERA","Lasiurus","VESPERTILIONIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria","Lasiurus_xanthinus",4,0,"sampled","PC17_VespertilionidRelated"
"Latidens salimalii","Mammals","mammaltree","Latidens_salimalii","Latidens_salimalii_PTEROPODIDAE_CHIROPTERA","Latidens","PTEROPODIDAE","CHIROPTERA","Yinpterochiroptera","Laurasiatheria","Latidens_salimalii",2,0,"sampled","PC19_Yinpterochiroptera"
"Lavia frons","Mammals","mammaltree","Lavia_frons","Lavia_frons_MEGADERMATIDAE_CHIROPTERA","Lavia","MEGADERMATIDAE","CHIROPTERA","Yinpterochiroptera","Laurasiatheria","Lavia_frons",0,0,"imputed","PC19_Yinpterochiroptera"
"Leptonycteris curasoae","Mammals","mammaltree","Leptonycteris_curasoae","Leptonycteris_curasoae_PHYLLOSTOMIDAE_CHIROPTERA","Leptonycteris","PHYLLOSTOMIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria","Leptonycteris_curasoae",6,0,"sampled","PC16_PhyllostomidRelated"
"Leptonycteris nivalis","Mammals","mammaltree","Leptonycteris_nivalis","Leptonycteris_nivalis_PHYLLOSTOMIDAE_CHIROPTERA","Leptonycteris","PHYLLOSTOMIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria","Leptonycteris_nivalis",2,0,"sampled","PC16_PhyllostomidRelated"
"Leptonycteris yerbabuenae","Mammals","mammaltree","Leptonycteris_yerbabuenae","Leptonycteris_yerbabuenae_PHYLLOSTOMIDAE_CHIROPTERA","Leptonycteris","PHYLLOSTOMIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria","Leptonycteris_yerbabuenae",5,0,"sampled","PC16_PhyllostomidRelated"
"Lichonycteris obscura","Mammals","mammaltree","Lichonycteris_obscura","Lichonycteris_obscura_PHYLLOSTOMIDAE_CHIROPTERA","Lichonycteris","PHYLLOSTOMIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria","Lichonycteris_obscura",1,0,"sampled","PC16_PhyllostomidRelated"
"Lionycteris spurrelli","Mammals","mammaltree","Lionycteris_spurrelli","Lionycteris_spurrelli_PHYLLOSTOMIDAE_CHIROPTERA","Lionycteris","PHYLLOSTOMIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria","Lionycteris_spurrelli",4,0,"sampled","PC16_PhyllostomidRelated"
"Lonchophylla bokermanni","Mammals","mammaltree","Lonchophylla_bokermanni","Lonchophylla_bokermanni_PHYLLOSTOMIDAE_CHIROPTERA","Lonchophylla","PHYLLOSTOMIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria","Lonchophylla_bokermanni",0,0,"imputed","PC16_PhyllostomidRelated"
"Lonchophylla chocoana","Mammals","mammaltree","Lonchophylla_chocoana","Lonchophylla_chocoana_PHYLLOSTOMIDAE_CHIROPTERA","Lonchophylla","PHYLLOSTOMIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria",NA,4,0,"sampled","PC16_PhyllostomidRelated"
